Status,CSR,Unit Price,Quoted Date,cFVersion,fBase,On Hold,Ordered,Picked/Shipped,Balance,Available,UOM,SOP,PO #,Sold To,Ship To,Ship Date
Picked,Genita Harris,$12.53 (yds),7/18/2025,721SM0627,721SM0627/ALTUS,"<div id='holdButton_24617' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24617,0)'></i></div>","1,422","1,357.6",64.4,0.0,yds,SP2506186/1,4500945128,Grammer Deutschland GmbH,Vowalon,
Picked,Genita Harris,$10.43 (lbs),7/3/2025,2140395,2140395/FF,"<div id='holdButton_24941' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24941,0)'></i></div>",787,736.3,50.8,0.0,lbs,SP2505057/1,337229,GATES DE MEXICO S de RI de CV,GATES - TX Eagle Pass,
Picked,Brittany Lee,$7.55 (yds),7/24/2025,CT2819-1,CT2819-1/0,"<div id='holdButton_25244' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25244,0)'></i></div>",300,312.0,-12.0,859.1,yds,SP2504167/2,P12756,Moonlight Slumber,Moonlight Slumber,
Picked,Genita Harris,$14.58 (yds),7/25/2025,80393D-SG,80393D-SG/ALTRW,"<div id='holdButton_25263' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25263,0)'></i></div>","1,140","1,139.9",0.1,0.0,yds,SP2507187/1,831272,"National Safety Apparel, Inc","National Safety Apparel, Inc",
Picked,Genita Harris,$14.58 (yds),7/25/2025,80393D-SG,80393D-SG/NAPCDF,"<div id='holdButton_25264' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25264,0)'></i></div>","2,652","2,652.0",0.0,0.0,yds,SP2507187/2,831272,"National Safety Apparel, Inc","National Safety Apparel, Inc",
Picked,Brittany Lee,$17.37 (each),7/25/2025,CT2935-1,CT2935-1/0,"<div id='holdButton_23932' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(23932,0)'></i></div>",600,601.0,-1.0,"1,499.0",panels,SP2505115/2,PO-ES-16202,Zonkd Limitada de CV,Zonkd Limitada de CV,
Picked,Brittany Lee,$22.03 (each),7/25/2025,CT2936-1,CT2936-1/0,"<div id='holdButton_23934' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(23934,0)'></i></div>",600,608.0,-8.0,"1,268.0",panels,SP2505115/1,PO-ES-16202,Zonkd Limitada de CV,Zonkd Limitada de CV,
Picked,Brittany Lee,$14.99 (yds),7/24/2025,C1B3199-1,C1B3199-1/0,"<div id='holdButton_25236' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25236,0)'></i></div>",60,65.0,-5.0,50.4,yds,SP2507176/2,44371,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$15.51 (yds),7/29/2025,C1B3198-1,C1B3198-1/0,"<div id='holdButton_25277' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25277,0)'></i></div>",60,71.9,-11.9,738.9,yds,SP2507194/2,46346,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$13.85 (yds),7/29/2025,C1B3225-1,C1B3225-1/42INCH,"<div id='holdButton_25279' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25279,0)'></i></div>",300,312.5,-12.5,"2,921.1",yds,SP2507194/4,46346,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$13.85 (yds),7/24/2025,C1B3225-1,C1B3225-1/42INCH,"<div id='holdButton_25235' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25235,0)'></i></div>",600,603.2,-3.2,"2,921.1",yds,SP2507176/3,44371,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$12.59 (yds),7/29/2025,C1B3299-1,C1B3299-1/0,"<div id='holdButton_25278' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25278,0)'></i></div>",60,60.8,-0.8,396.7,yds,SP2507194/3,46346,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$1.33 (yds),7/29/2025,CT2155-1,CT2155-1/0,"<div id='holdButton_25280' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25280,0)'></i></div>","1,500","1,603.0",-103.0,"24,308.0",yds,SP2507194/1,46346,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$1.33 (yds),7/24/2025,CT2155-1,CT2155-1/0,"<div id='holdButton_25237' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25237,0)'></i></div>","1,050","1,156.0",-106.0,"24,308.0",yds,SP2507176/1,44371,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$13.50 (yds),7/29/2025,C1B3912-1FS,C1B3912-1FS/42INCH,"<div id='holdButton_25281' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25281,0)'></i></div>",250,259.4,-9.4,811.9,yds,SP2507194/5,46346,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$13.50 (yds),7/24/2025,C1B3912-1FS,C1B3912-1FS/42INCH,"<div id='holdButton_25238' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25238,0)'></i></div>",250,263.7,-13.7,811.9,yds,SP2507176/5,44371,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$13.50 (yds),7/29/2025,C1B4338-1,C1B4338-1/0,"<div id='holdButton_25282' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25282,0)'></i></div>",250,278.3,-28.3,"1,013.6",yds,SP2507194/6,46346,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$13.50 (yds),7/24/2025,C1B4338-1,C1B4338-1/0,"<div id='holdButton_25239' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25239,0)'></i></div>",125,142.5,-17.5,"1,013.6",yds,SP2507176/6,44371,Southerland Inc,Southerland Inc - OK,
Picked,Brittany Lee,$10.60 (yds),7/4/2025,C1B4332-1BWR,C1B4332-1BWR/0,"<div id='holdButton_24534' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24534,0)'></i></div>",750,689.8,60.2,22.2,yds,SP2506144/1,P12803,Moonlight Slumber,Moonlight Slumber,
Picked,Brittany Lee,$5.48 (yds),7/24/2025,50000183,C1B4125-1/0,"<div id='holdButton_25233' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25233,0)'></i></div>",80,100.3,-20.3,0.0,yds,SP2507138/2,097889,Serta MD,Serta MD,
Picked,Genita Harris,$3.59 (yds),7/4/2025,CF5263-1674,CF5263-1674/0,"<div id='holdButton_24658' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24658,0)'></i></div>","7,500","7,576.0",-76.0,147.0,yds,SP2506191/1,SAW-003,Sawasawa LLC,Sawasawa LLC,
Picked,Brittany Lee,$5.69 (yds),7/28/2025,70005413,C1B4571-1/0,"<div id='holdButton_25283' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25283,0)'></i></div>",40,40.0,0.0,"10,358.7",yds,SP2507195/1,L8265-087,Serta Simmons Bedding Company,SSBMF - WEST PALM,
Picked,Brittany Lee,$5.69 (yds),7/28/2025,70005413,C1B4571-1/0,"<div id='holdButton_25272' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25272,0)'></i></div>",80,80.0,0.0,"10,358.7",yds,SP2507191/1,L8308-178,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Picked,Brittany Lee,$3.50 (yds),7/28/2025,700094133,C1B4612-1/1,"<div id='holdButton_25274' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25274,0)'></i></div>",60,71.7,-11.7,"3,085.8",yds,SP2507192/2,L8348-075,Serta Simmons Bedding Company,SSBMF - Cullman,
Picked,Brittany Lee,$3.85 (yds),7/28/2025,700094134,C1B4613-1/0,"<div id='holdButton_25273' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25273,0)'></i></div>",60,62.0,-2.0,"3,164.5",yds,SP2507192/3,L8348-075,Serta Simmons Bedding Company,SSBMF - Cullman,
Picked,Brittany Lee,$4.34 (yds),7/25/2025,CT2894-6,CT2894-6/0,"<div id='holdButton_23933' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(23933,0)'></i></div>","2,000","1,880.6",119.5,0.0,yds,SP2505115/3,PO-ES-16202,Zonkd Limitada de CV,Zonkd Limitada de CV,
Open,Genita Harris,$12.21 (yds),8/8/2025,BK5425,BK5425/1,"<div id='holdButton_24259' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24259,0)'></i></div>","2,000",0.0,"2,000.0",0.0,yds,SP2506023/1,4600001981,Pilot Tasit Koltuklari,Pilot Tasit Koltuklari,
Open,Genita Harris,$12.11 (yds),10/13/2025,751SM0780,751SM0780/0,"<div id='holdButton_24722' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24722,0)'></i></div>",300,0.0,300.0,0.0,yds,SP2502168/1,39109,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$10.76 (yds),9/12/2025,751SM0780,751SM0780/0,"<div id='holdButton_24547' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24547,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506148/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),9/5/2025,751SM0780,751SM0780/0,"<div id='holdButton_24546' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24546,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506148/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),8/29/2025,751SM0780,751SM0780/0,"<div id='holdButton_24545' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24545,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506148/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),9/19/2025,751SM0780,751SM0780/0,"<div id='holdButton_24548' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24548,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506148/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),8/8/2025,751SM0780,751SM0780/0,"<div id='holdButton_24447' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24447,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506107/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),8/22/2025,751SM0780,751SM0780/0,"<div id='holdButton_24448' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24448,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506107/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.11 (yds),8/18/2025,751SM0780,751SM0780/0,"<div id='holdButton_24181' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24181,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2502168/1,39109,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$10.76 (yds),8/1/2025,751SM0780,751SM0780/0,"<div id='holdButton_24446' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24446,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506107/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),7/25/2025,751SM0780,751SM0780/0,"<div id='holdButton_24445' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24445,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506107/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),7/11/2025,751SM0780,751SM0780/0,"<div id='holdButton_24420' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24420,0)'></i></div>","1,561",0.0,"1,561.0",0.0,yds,SP2506094/1,1007135-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),7/18/2025,751SM0780,751SM0780/0,"<div id='holdButton_24421' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24421,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506094/1,1007135-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.11 (yds),11/10/2025,751SM0780,751SM0780/0,"<div id='holdButton_25180' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25180,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2502168/1,39109,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$12.11 (yds),9/15/2025,751SM0780,751SM0780/0,"<div id='holdButton_24182' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24182,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2502168/1,39109,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$12.11 (yds),7/28/2025,751SM0780,751SM0780/0,"<div id='holdButton_24156' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24156,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2505131/1,39287-00,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$12.11 (yds),7/14/2025,751SM0780,751SM0780/0,"<div id='holdButton_24155' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24155,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2505131/1,39287-00,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$12.53 (yds),8/29/2025,721SM0627,721SM0627/ALTUS,"<div id='holdButton_25043' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25043,0)'></i></div>",546,0.0,546.0,0.0,yds,SP2411185/1,A5000133,COBO SPA DIV. MT.,COBO SPA DIV. MT.,
Open,Genita Harris,$12.53 (yds),8/8/2025,721SM0627,721SM0627/ALTUS,"<div id='holdButton_24461' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24461,0)'></i></div>",546,0.0,546.0,0.0,yds,SP2411185/1,A5000133,COBO SPA DIV. MT.,COBO SPA DIV. MT.,
Open,Genita Harris,$12.53 (yds),7/3/2025,721SM0627,721SM0627/ALTUS,"<div id='holdButton_22824' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(22824,0)'></i></div>",655,0.0,655.0,0.0,yds,SP2411185/1,A5000133,COBO SPA DIV. MT.,COBO SPA DIV. MT.,
Open,Genita Harris,$12.06 (yds),8/29/2025,641SM0693,641SM0693/ALTUS,"<div id='holdButton_24459' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24459,0)'></i></div>",300,0.0,300.0,0.0,yds,SP2506113/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.06 (yds),8/15/2025,641SM0693,641SM0693/ALTUS,"<div id='holdButton_24450' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24450,0)'></i></div>",300,0.0,300.0,0.0,yds,SP2506108/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.10 (yds),9/19/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_24544' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24544,0)'></i></div>",500,0.0,500.0,0.0,yds,SP2506147/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
